name,description,site_type,longitude,latitude,elevation,datum
OL61,,Existing Latrine Site,-86.5060210134834,13.52130699902773,942.323242,WGS 84
OL62,,Existing Latrine Site,-86.5072890277952,13.52272303774953,957.2545169999999,WGS 84
OL63,,Existing Latrine Site,-86.50738198310137,13.52217796258628,959.6034549999999,WGS 84
OL64,,Existing Latrine Site,-86.50761298835278,13.5230559669435,948.7647089999999,WGS 84
OL65,,Existing Latrine Site,-86.50354600511491,13.52189297787845,925.0505979999999,WGS 84
OL66,,Existing Latrine Site,-86.50212401524186,13.5203050263226,898.6577759999999,WGS 84
OL67,,Existing Latrine Site,-86.50208202190697,13.52038901299238,894.116089,WGS 84
OL68,,Existing Latrine Site,-86.49749703705311,13.52378200739622,776.416199,WGS 84
OL69,,Existing Latrine Site,-86.49643898941576,13.52318496443331,774.983643,WGS 84
OL70,,Existing Latrine Site,-86.49635299108922,13.52368402294815,768.696228,WGS 84
OL71,,Existing Latrine Site,-86.49658097885549,13.52361998520792,770.233643,WGS 84
OL72,,Existing Latrine Site,-86.49628702551126,13.52391402237117,770.326294,WGS 84
OL73,,Existing Latrine Site,-86.49541396647692,13.52354597300291,777.707153,WGS 84
OL74,,Existing Latrine Site,-86.49634703993797,13.52444996125996,769.089417,WGS 84
OL75,,Existing Latrine Site,-86.49561303667724,13.5245359595865,767.667664,WGS 84
OL76,,Existing Latrine Site,-86.49420697242022,13.52429003454745,765.395691,WGS 84
OL77,,Existing Latrine Site,-86.49385803379118,13.52525303140283,760.899597,WGS 84
OL78,,Existing Latrine Site,-86.49272002279758,13.52512696757913,758.955322,WGS 84
OL79,,Existing Latrine Site,-86.49215499870479,13.52388401515782,752.514832,WGS 84
OL80,,Existing Latrine Site,-86.49219900369644,13.52461902424693,751.485779,WGS 84
OL81,,Existing Latrine Site,-86.49241802282631,13.52519896812737,769.462952,WGS 84
OL82,,Existing Latrine Site,-86.49235398508608,13.52536400780082,769.688171,WGS 84
OL83,,Existing Latrine Site,-86.49170799180865,13.52545604109764,761.30957,WGS 84
OL84,,Existing Latrine Site,-86.49209003895521,13.52564102970064,766.600586,WGS 84
OL86,,Existing Latrine Site,-86.49194603785872,13.52609801106155,764.667358,WGS 84
OL87,,Existing Latrine Site,-86.4904709905386,13.52457996457815,744.989441,WGS 84
OL88,,Existing Latrine Site,-86.4902910310775,13.52300198748708,743.397522,WGS 84
OL89,,Existing Latrine Site,-86.48941101506352,13.51704496890306,767.673889,WGS 84
OL91,,Existing Latrine Site,-86.48971502669156,13.51660500280559,768.054932,WGS 84
OL92,,Existing Latrine Site,-86.49003001861274,13.51641397923231,765.842957,WGS 84
OL94,,Existing Latrine Site,-86.48919099010527,13.51618498563766,738.930176,WGS 84
OL96,,Existing Latrine Site,-86.4887510240078,13.51651900447905,741.284058,WGS 84
ST,STORAGE TANK   30K LT,Storage Tank,-86.49856003001332,13.52207696065307,817.814514,WGS 84
W01,Luisa Lopez Casco For consumption.  Perforated Depth: It cannot be accessed because it is sealed,Well,-86.49062303826213,13.51975802332163,750.943787,WGS 84
W02,Carlos Diaz For irrigation and to wash Hand built Depth: 13.60 m,Well,-86.49050300940871,13.52011199109256,748.650513,WGS 84
W03,Chapel  For consumption. Hand built Depth: 9.88 m,Well,-86.49023503996432,13.52093299850821,750.748291,WGS 84
W04,Santos Rosalio Gomez For consumption animal. Hand built Depth: 9.00 m,Well,-86.4909419696778,13.52137195877731,752.52002,WGS 84
W05,Ever Gomez Gomez For consumption animal. Hand built Depth: 16.06 m,Well,-86.49179399013519,13.52203102782369,763.397034,WGS 84
W06,Ivania Sanchez Rios In construction Hand built Depth: 15.50 m,Well,-86.49288103915751,13.52165702730417,758.956421,WGS 84
W07,Jairo Sanchez For consumption animal. Hand built Depth: 2.65 m,Well,-86.49367296136916,13.51946599781513,754.82843,WGS 84
W08,Jose Santos Lopez For consumption. Hand built Depth: 5.40 m,Well,-86.49446496739984,13.51918503642082,755.86853,WGS 84
